date,symbol,asset_type,open_price,close_price,high_price,low_price,pr,gkr,rr5,rv1,rv5,rv5_ss,bv1,bv5,bv5_ss,rsp1,rsn1,rsp5,rsn5,rsp5_ss,rsn5_ss,medrv1,medrv5,medrv5_ss,minrv1,minrv5,minrv5_ss,rk,rq1,rq5,rq5_ss
2009-09-28,C,futures,333.5,340.375,343.375,329.125,0.0006479622638081847,0.0007374260074433281,0.0003681239210574697,0.0006708259102865028,0.0004716726840581071,0.0005416663788966335,0.0005122047067196702,0.0003046472693243873,0.00043219665704787166,0.00038016459486569956,0.0002906613154208032,0.00032204162592205807,0.00014963105813604893,0.000361517706424788,0.00018014867247184547,0.0006153204743271856,0.00029659039488134616,0.00045197886856115156,0.0005789810081296997,0.0002803538405622047,0.0004412546767476485,0.0005575454624094726,1.8281947225457324e-06,7.854139869509899e-07,1.1464532376968562e-06
2009-09-29,C,futures,340.5,339.25,346.375,336.375,0.00030953747690877953,0.00042388488268406475,0.00042997328805814255,0.000685420024820294,0.0006614916344987413,0.0006739022663917149,0.0004980782903081858,0.0005681261754954414,0.0006046901546498942,0.00035423011549685386,0.0003311899093234402,0.0003486081543617116,0.0003128834801370298,0.00035428411934507973,0.0003196181470466351,0.0005367409785793836,0.0005923278091392722,0.000602644403192379,0.0005045365145112624,0.0005848074077791364,0.0006253987546130527,0.0006333329316411721,1.4246977047427613e-06,1.1424893930703357e-06,1.3522432776524908e-06
2009-09-30,C,futures,339.25,341.875,344.125,335.625,0.00022561046114657384,0.00028981224882958803,0.00039658922511905375,0.0006409462296268493,0.0005696732125120376,0.000590230923018802,0.00043658182868929884,0.0004931094126939362,0.0005256222871265371,0.00032233863876678716,0.0003186075908600622,0.0002596687878868884,0.0003100044246251491,0.0002759773374666839,0.00031425358555211804,0.0005338827850107847,0.0004885643352025515,0.0005236421087711117,0.0005223348895299863,0.0005098378944380387,0.0005458803767273354,0.0005794076973008894,1.37133986082739e-06,9.16612025568557e-07,1.0415910595617607e-06
2009-10-01,C,futures,341.75,339.875,345.875,337.375,0.00022330473000083535,0.0002978740000621364,0.000273634736367159,0.00042867514438297996,0.0004213797071599965,0.00033118237579479883,0.00027820201535411795,0.0004042397618151693,0.0002948794304546116,0.00019899783776964925,0.00022967730661333074,0.00021987949864697189,0.00020150020851302455,0.00016105240434335124,0.00017012997145144764,0.0002954963003093909,0.0003782263930267732,0.00032153853466840987,0.00029488732859940037,0.0003869758750873238,0.0003004129403936356,0.00030166423557605854,1.0026184281661928e-06,1.1526815175633878e-06,5.379776879958534e-07
2009-10-02,C,futures,339.625,333.625,340.125,331.875,0.0002174640793337162,0.0001787391142734307,0.00019813948882196786,0.00032698192136177437,0.0003026615948620461,0.0002534944308145063,0.0002411538523280321,0.00021548578657812004,0.00017460455566621933,0.00015138878116290253,0.0001755931401988718,8.491860974077767e-05,0.0002177429851212684,9.149362212996514e-05,0.00016200080868454121,0.00028537050229228384,0.00020552417084034405,0.00017500591121782333,0.0002547233066808655,0.00019089742738232976,0.00014735356909704027,0.0002797566674911846,2.6101369371914853e-07,6.898026890791565e-07,2.929334227928908e-07
2009-10-05,C,futures,330.875,344.875,349.75,330.375,0.0011714278068012177,0.0009605267283774526,0.0004938759763709225,0.0007177935431401136,0.000721021540948031,0.0006327013478275502,0.0005989730465777135,0.0005484676361285431,0.0004962553386975946,0.0004464528950818017,0.00027134064805831194,0.0005180581598723925,0.00020296338107563864,0.00044288111244570347,0.0001898202353818468,0.0005346262214335143,0.0004329922316159904,0.0004643551386622056,0.0005880770340052186,0.0004268191470959902,0.0004439165376240239,0.000617901590593176,2.703559441737979e-06,3.33034110642719e-06,1.8823023205098292e-06
2009-10-06,C,futures,344.625,357.5,369.875,344.625,0.0018032445124086737,0.0019801413241001976,0.0009422800286443179,0.00110535761768191,0.0015023698253970835,0.0017386758344443386,0.0010282198513303891,0.0014228583955997534,0.00128784322861698,0.000710437127662367,0.0003949204900195429,0.000835393436219361,0.0006669763891777223,0.0011508516698771505,0.000587824164567188,0.001027437749196116,0.001570667357889531,0.001367735353396339,0.0010938128724387714,0.00133162804676925,0.001158625357334978,0.0017329639995434156,1.3038369102115326e-05,1.1967698517661479e-05,2.9359688244887142e-05
2009-10-07,C,futures,357.125,362.125,363.625,354.125,0.0002527703168032219,0.0002757395139083292,0.00027198918022768845,0.00044675707742048,0.0003866908505898186,0.0003162357240124953,0.0003242783244254265,0.00032268370475718353,0.00026068507838862944,0.00023800572246557617,0.00020875135495490382,0.00017188930504983266,0.00021480154553998589,0.00014728689441937155,0.00016894882959312378,0.0003789896069685726,0.0003801754184158558,0.0002844601154989673,0.0003584824793329796,0.0003747177362459459,0.0002714899799115695,0.00031274268185049146,1.1711894088795116e-06,1.2927474128492534e-06,4.761156443590752e-07
2009-10-08,C,futures,362.125,361.5,369.875,360.875,0.00021885971555415313,0.0003022513023094281,0.0002778010467295296,0.00045436717686853393,0.00040862556019661536,0.00038617969386639826,0.00033239096911520546,0.000312883478313526,0.0003182887295188052,0.0001963054470133301,0.0002580617298552039,0.00016524015205414465,0.00024338540814247068,0.00016339974515633963,0.00022277994871005858,0.0003648557546329211,0.0003222887721908132,0.00033798398477034256,0.00034737484973042167,0.0003343519754004747,0.0003367868437271958,0.00039574909359698415,9.498200871827312e-07,6.446052487232176e-07,5.544048343342133e-07
2009-10-09,C,futures,361.5,362.875,372.875,358.875,0.0005282155046463726,0.0007266947054531261,0.000613338422557547,0.0008604679906257285,0.000732675663460028,0.0009018509557371258,0.000771366785707765,0.0007052631451027609,0.0007886128721064168,0.00042530032071780776,0.0004351676699079207,0.00036898832248830207,0.00036368734097172597,0.00048497643627763503,0.00041687451945949074,0.0007960665424321321,0.0008162604024049267,0.0007740861775103661,0.000743079427145875,0.0008084002930035998,0.0007443447902928636,0.0008448896266348305,3.102169031566084e-06,1.8342808339528542e-06,4.737354866764908e-06
